Forward angle,Sway_angle
0.0,0.0
180.0,0.0
180.0,0.0
73.691,84.8511121950669
74.269,84.11517067555009
74.9669,82.99061574337875
75.2153,82.51496104962666
75.4711,82.02323121247338
75.4436,81.97276248956804
75.421,81.9302180411537
75.3462,81.78215532620578
75.6055,81.41987074537013
75.5605,81.3162461864688
75.8617,80.83155354908011
75.8392,80.77011375627228
75.799,80.65532809790031
76.1084,80.14828449281279
76.3606,79.68323429289684
76.345,79.62322665677218
76.6471,79.01134890350602
76.6018,78.78567422069847
76.6018,78.78567422069847
76.8824,78.36031128487022
76.8567,78.20275186927624
76.8567,78.20275186927624
76.8434,78.11502515524437
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8327,78.04093129723634
76.8434,78.11502515524437
76.8434,78.11502515524437
76.8434,78.11502515524437
76.8434,78.11502515524437
75.9389,79.4624241226275
75.2696,80.43485397103115
74.6645,81.30609582174368
73.764,82.6583654789872
73.5452,83.12843079436047
72.9675,84.07179659255168
180.0,0.0
180.0,0.0
180.0,0.0
180.0,0.0
